pair,aspect,in_window_bars,rate_in,lift,binomial_p,random_p,holdout_in_bars,holdout_lift,bh_significant
moon-mercury,30.0,32,0.5,0.7905675459632294,0.9568463602335493,0.9701492537313433,7,0.46016911437472185,False
venus-uranus,0.0,32,0.5,0.7905675459632294,0.9568463602335493,0.9751243781094527,11,0.14641744548286606,False
mercury-pluto,30.0,37,0.4864864864864865,0.7692008555317909,0.9762428321119939,0.9701492537313433,7,0.46016911437472185,False
mercury-mars,60.0,31,0.4838709677419355,0.7650653670611899,0.9695405796730704,0.9601990049751243,0,,False
sun-neptune,120.0,31,0.4838709677419355,0.7650653670611899,0.9695405796730704,0.9900497512437811,6,0.0,False
jupiter-uranus,45.0,94,0.4787234042553192,0.7569263737945815,0.9991557681548587,1.0,94,0.7710280373831776,False
sun-neptune,60.0,38,0.47368421052631576,0.7489587277546385,0.984681319718535,0.9850746268656716,13,0.7433501078360892,False
venus-saturn,30.0,36,0.4722222222222222,0.74664712674305,0.9834549342079336,0.9850746268656716,13,0.8672417924754373,False
venus-pluto,30.0,32,0.46875,0.7411570743405277,0.9807413615314715,0.9900497512437811,11,0.7320872274143302,False
mercury-neptune,135.0,30,0.4666666666666667,0.7378630428990142,0.979252487328123,0.9800995024875622,16,0.8052959501557633,False
sun-saturn,45.0,41,0.4634146341463415,0.732721140161042,0.9909636125032408,0.9900497512437811,14,0.23008455718736093,False
mercury-neptune,90.0,41,0.4634146341463415,0.732721140161042,0.9909636125032408,0.9950248756218906,3,1.6105919003115265,False
sun-uranus,60.0,33,0.45454545454545453,0.7186977690574813,0.9880600613728894,0.9850746268656716,7,0.23008455718736093,False
sun-saturn,120.0,31,0.45161290322580644,0.7140610092571105,0.9872505289264016,0.9651741293532339,6,0.0,False
sun-uranus,30.0,33,0.42424242424242425,0.6707845844536493,0.9954471171133689,1.0,7,1.1504227859368048,False
jupiter-neptune,0.0,31,0.41935483870967744,0.6630566514530312,0.995255319027672,0.9900497512437811,0,,False
venus-neptune,60.0,31,0.41935483870967744,0.6630566514530312,0.995255319027672,0.9950248756218906,11,0.4392523364485981,False
